町コード,町名,緯度,経度
000101,川崎,35.061172,134.030946
000102,野介代,35.075027,134.0295
000103,林田,35.070067,134.017311
000201,東新町,35.063372,134.018721
000202,西新町,35.062343,134.015917
000203,中之町,35.061504,134.013087
000204,勝間田町,35.060822,134.011668
000205,林田町,35.060171,134.010362
000206,橋本町,35.05995,134.009069
000207,上之町,35.063943,134.016621
000301,材木町,35.059179,134.008251
000302,伏見町,35.05857,134.006705
000303,京町,35.058782,134.003732
000304,河原町,35.058268,134.005137
000305,船頭町,35.05763,134.003585
000306,小性町,35.058093,134.00278
000307,吹屋町,35.057212,133.999906
000308,新魚町,35.058696,134.000444
000401,堺町,35.058413,134.001421
000402,二階町,35.060084,134.001464
000403,元魚町,35.060565,134.00069
000404,新職人町,35.058785,133.999498
000405,戸川町,35.059207,133.998953
000406,本町２丁目,35.060082,133.999642
000407,本町３丁目,35.060168,133.998392
000408,美濃町,35.060802,133.999839
000501,桶屋町,35.058024,133.998697
000502,下紺屋町,35.0614,133.999107
000503,鍛治町,35.060886,133.998498
000504,坪井町,35.060584,133.996705
000505,福渡町,35.059854,133.996612
000506,細工町,35.06165,133.996822
000507,上紺屋町,35.061258,133.99678
000508,宮脇町,35.06052,133.99493
000509,南新座,35.058245,133.996787
000601,山下,35.061717,134.004087
000602,北町,35.065889,134.005944
000603,椿高下,35.066431,134.001702
000604,城代町,35.065769,133.99823
000605,田町,35.062908,133.997564
000606,大手町,35.059881,134.003629
000701,西寺町,35.059907,133.991881
000702,鉄砲町,35.057325,133.99379
000703,新茅町,35.05795,133.990947
000704,西今町,35.060421,133.992907
000705,茅町,35.059729,133.988852
000706,安岡町,35.061451,133.986779
000707,小田中,35.064474,133.988516
000801,上河原,35.085397,134.003667
000802,北園町,35.076578,134.006452
000803,山北,35.070585,134.004009
000804,総社,35.076039,133.989406
000805,小原,35.083801,133.99276
000901,志戸部,35.079019,134.019755
000902,勝部,35.08725,134.025363
000903,籾保,35.096046,134.024629
000904,紫保井,35.091593,134.014451
000905,大田,35.091396,134.00579
000906,沼,35.077169,134.012521
000907,弥生町,35.074819,134.015296
001001,二宮,35.063948,133.968385
001101,院庄,35.060132,133.95204
001102,神戸,35.062965,133.941498
001103,戸島,35.071245,133.950607
001201,福田,35.021364,133.964037
001202,高尾,35.035706,133.960202
001203,皿,35.038463,133.973837
001204,平福,35.050094,133.969187
001205,中島,35.053025,133.961575
001206,一方,35.049317,133.980029
001207,津山口,35.057198,133.985525
001208,井口,35.05021,133.987988
001301,大谷,35.046604,133.996685
001302,昭和町１丁目,35.05524,133.999564
001303,昭和町２丁目,35.055245,133.994647
001304,南町１丁目,35.0559,134.002619
001305,横山,35.048089,134.010616
001306,八出,35.057049,134.016804
001401,小桁,35.037792,134.025846
001402,金屋,35.028932,134.027501
001403,押渕,35.014215,134.02164
001404,荒神山,35.0281,134.014306
001405,種,35.032961,133.996434
001501,上田邑,35.095902,133.962797
001502,下田邑,35.076917,133.967838
001601,一宮,35.096002,133.98459
001602,東一宮,35.100988,134.002068
001603,東田辺,35.12169,133.982525
001604,西田辺,35.126151,133.973597
001605,山方,35.11643,133.992111
001701,下横野,35.112675,134.023483
001702,大篠,35.125823,134.034669
001703,上横野,35.143993,134.00192
001801,上高倉,35.116798,134.051212
001802,下高倉東,35.095107,134.053581
001803,下高倉西,35.093588,134.04075
001901,吉見,35.135417,134.06411
001902,綾部,35.117516,134.069218
002001,堀坂,35.11758,134.082893
002002,妙原,35.133553,134.082303
002003,三浦,35.145056,134.086337
002101,草加部,35.10081,134.067247
002102,野村,35.088162,134.067375
002103,近長,35.083277,134.081943
002104,楢,35.09606,134.081479
002201,押入,35.067725,134.041278
002202,高野山西,35.079309,134.044076
002203,高野本郷,35.079419,134.061803
002301,河面,35.071946,134.074705
002302,福井,35.059608,134.082164
002303,田熊,35.068153,134.091546
002401,金井,35.035619,134.057084
002402,中原,35.032574,134.066712
002403,福力,35.046576,134.066226
002404,新田,35.0564,134.065637
002405,西吉田,35.051298,134.055976
002406,池ケ原,35.042717,134.078532
002407,堂尾,35.026553,134.079239
002501,国分寺,35.051025,134.041477
002502,日上,35.0508,134.027753
002503,瓜生原,35.031846,134.042859
002504,河辺,35.059091,134.051726
003101,加茂町物見,35.214802,134.145461
003102,加茂町河井,35.206189,134.117805
003103,加茂町山下,35.207384,134.103286
003104,加茂町知和,35.21015,134.090719
003105,加茂町青栁,35.210547,134.070755
003201,加茂町塔中,35.184118,134.056375
003202,加茂町小中原,35.178402,134.050411
003203,加茂町齋野谷,35.184857,134.047418
003204,加茂町戸賀,35.19584,134.048504
003205,加茂町黒木,35.22349,134.04127
003206,加茂町倉見,35.266393,134.052789
003207,加茂町宇野,35.207244,134.018274
003208,加茂町原口,35.184137,134.009741
003301,加茂町行重,35.1545,134.034182
003302,加茂町楢井,35.164886,134.022121
003303,加茂町百々,35.177141,134.031366
003304,加茂町中原,35.173174,134.049434
003305,加茂町成安,35.155259,134.06128
003401,加茂町下津川,35.171502,134.102892
003402,加茂町公郷,35.171129,134.078429
003403,加茂町桑原,35.17559,134.062239
003404,加茂町小渕,35.187508,134.072136
004101,阿波,35.262959,134.119141
005101,新野東,35.107194,134.119964
005102,西上,35.129981,134.109165
005103,西中,35.112606,134.107307
005104,西下,35.107105,134.09628
005105,新野山形,35.124666,134.09694
005106,日本原,35.112878,134.129951
005107,市場,35.133266,134.11638
005108,大岩,35.143479,134.124112
005109,大吉,35.156973,134.134351
005110,奥津川,35.156938,134.11178
005111,上村,35.100897,134.093103
005112,中村,35.093011,134.097971
005113,杉宮,35.090579,134.090875
005114,坂上,35.099956,134.102139
005115,原,35.097632,134.117232
005116,安井,35.09141,134.110424
005117,上野田,35.081955,134.096608
005118,下野田,35.075312,134.100329
006101,坪井上,35.051281,133.83739
006102,坪井下,35.053025,133.864222
006103,中北上,35.074103,133.843551
006201,宮部上,35.088251,133.853209
006202,宮部下,35.073622,133.882813
006203,中北下,35.06718,133.899463
006301,南方中,35.051336,133.884741
006302,一色,35.046334,133.89538
006303,神代,35.03905,133.907106
006401,久米川南,35.048552,133.928297
006404,くめ,35.06176,133.922922
006402,領家,35.062762,133.911635
006403,宮尾,35.057595,133.931063
006501,戸脇,35.032019,133.931398
006502,桑下,35.025068,133.923174
006503,桑上,35.020847,133.915976
006504,福田下,35.014505,133.912109
006505,八社,34.998398,133.899339
006601,油木下,35.013308,133.899304
006602,油木上,35.001578,133.884214
006603,油木北,35.016482,133.890505
006604,里公文,35.030257,133.897366
006605,里公文上,35.031542,133.88111
